MCode,Dept,MType,Machine,SeqNo,MaintNo,DeptCode,InstDept,Machine_Group,Usage_Type,Stopdate,Level,Url,Hp,Phase
3305RD,R&D,เครื่องเจาะนอน,เครื่องเจาะนอน 5,5,33,RD,แผนกRD,HBM,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1b_NkRsDs63smcaMwl6iTx4J-V7rymMrt/view?usp=drivesdk,2,3
3306CU,ขึ้นรูป,เครื่องเจาะนอน,เครื่องเจาะนอน 6,6,33,CU,แผนก ขึ้นรูป L1,HBM,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1Uj2a8yJYxBK835pvTJNhXatM1RtK03KZ/view?usp=drivesdk,2,3
3307CU,ขึ้นรูป,เครื่องเจาะนอน,เครื่องเจาะนอน 7,7,33,CU,,HBM,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/11JySq79Jrm0m4jdhK7zal7unZn11tIzz/view?usp=drivesdk,2,3
3308CU,ขึ้นรูป,เครื่องเจาะนอน,เครื่องเจาะนอน 8,8,33,CU,แผนก ขึ้นรูป M3,HBM,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/19niP2IVX7FSBa4G5alaAudpherbkqmuY/view?usp=drivesdk,2,3
3401SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 1,1,34,SA,แผนกขัดละเอียด1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1dBH0-JOZ4ZBTnBlY5vxnw_n_fEr2HK_b/view?usp=drivesdk,3,3
3402SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 2,2,34,SA,แผนกขัดละเอียด2,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/13dh7rUXMbF0aCSrJiwiGhHbzMOieZFOl/view?usp=drivesdk,3,3
3403SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 3,3,34,SA,แผนกขัดละเอียด1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1OIdqv85paOxr5uunvs6fyJ97B8ca2nhy/view?usp=drivesdk,3,3
3404SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 4,4,34,SA,แผนกขัดละเอียด1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/18DFD3MikxH2fNmt7z90hl2ITmYOtx0Ng/view?usp=drivesdk,3,3
3405SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 5,5,34,SA,แผนกขัดละเอียด1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1wCH86wvE3_ada2D0LVM-VgxAjudXHVJk/view?usp=drivesdk,3,3
3406SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 6,6,34,SA,แผนก ขึ้นรูป L1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1i7b1Y5GBlB9m5l1w5qL594sriy75mxi6/view?usp=drivesdk,3,3
3407SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 7,7,34,SA,แผนกขัดละเอียด1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1cBCvJk2Miv0KLhWzWqbIiPCeL0XSv7bT/view?usp=drivesdk,3,3
3408SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 8,8,34,SA,แผนกขัดละเอียด1,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1so62ZG-iVslcQhemGQHXE0V-oe6msG2m/view?usp=drivesdk,3,3
3409SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 9,9,34,SA,แผนกขัดละเอียด2,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1Y2uez3BxI69hHNHZo8XTZ8YNuwYZmO8L/view?usp=drivesdk,3,3
3410RD,R&D,เครื่องขัดตั้ง,เครื่องขัดตั้ง 10,10,34,RD,แผนกRD,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1IglyX25vcI9gdkI8iSWEePVLfxyWm2sg/view?usp=drivesdk,3,3
3411SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 11,11,34,SA,แผนกขัดละเอียด 3,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1rt1b6p1-KOwLrWKL8hffxaVROLrE884Q/view?usp=drivesdk,3,3
3412SA,ขัดละเอียด,เครื่องขัดตั้ง,เครื่องขัดตั้ง 12,12,34,SA,,VTS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1icxDt6QyIdxKgRdSlb9vmtHNjL29OAfN/view?usp=drivesdk,3,3
3501SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 1,1,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1Dif9w7_iMTOSscySoIrV-LsRfI3hskoh/view?usp=drivesdk,2,3
3502SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 2,2,35,SA,แผนกขัดละเอียด2,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/10CnAloonGnLMql0m8-8qZB_Jp6DQMd4F/view?usp=drivesdk,2,3
3503SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 3,3,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/10RkH-6BINKzU_hMBr1ySnHKj_hKcFmUl/view?usp=drivesdk,2,3
3504SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 4,4,35,SA,แผนกขัดละเอียด 3,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1KsRUpy8si-6Zs9IfUn3FN10ruvWHlbeE/view?usp=drivesdk,2,3
3505SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 5,5,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1Q6B3cCsaKCg2A62ronDClVz9U_0KK6gZ/view?usp=drivesdk,2,3
3506SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 6,6,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1lJSpahzkA_lEqVz0eYwFzeI8AhxV80FB/view?usp=drivesdk,2,3
3507SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 7,7,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/18OITX-kbprNvnp979KBMo4808-u35MPB/view?usp=drivesdk,2,3
3508SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 8,8,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1SBqilat8o552Ljl9fcuINa_8dAy_SJyt/view?usp=drivesdk,2,3
3509SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 9,9,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1JvvoIYtXk8jRRsra8mM9YMzMqIljQg7K/view?usp=drivesdk,2,3
3510SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 10,10,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1zf_9jog8ySDvJ6pIS7VbVVFpHiV653Ov/view?usp=drivesdk,2,3
3511SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 11,11,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/11sYhsCwtgpQ4vOonZf64Bn5Qozu5c0lH/view?usp=drivesdk,2,3
3512SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 12,12,35,SA,แผนกขัดละเอียด2,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1Zk_jmoqss0ZAu10fiNgGyAIW5txBNP6K/view?usp=drivesdk,2,3
3513SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 13,13,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1NdQbnK28WNhcfyHO-0tjFCXfgOTg6GDM/view?usp=drivesdk,2,3
3514SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 14,14,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1ZWrSZGw9KPJZqxak-UG9H5Vms4lfbk4m/view?usp=drivesdk,2,3
3515SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 15,15,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1nbTZqqN4oNehl1xqDf55a_t3C2b5SQJE/view?usp=drivesdk,2,3
3516RD,R&D,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 16,16,35,RD,แผนกRD,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1dAR5busozUzbGvMo-Xig4bArRfreRH9-/view?usp=drivesdk,2,3
3517RD,R&D,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 17,17,35,RD,แผนกขัดละเอียด 3,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1asa0WklO7AAWX5WKpaJ4XckBwUWgsIS2/view?usp=drivesdk,2,3
3518PS,อัดวีเนียร์,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 18,18,35,PS,แผนกอัดวีเนียร์,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1HrU2-MZjI7SF-UmWiOks2l1flU7pwPIq/view?usp=drivesdk,2,3
3519SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 19,19,35,SA,แผนกขัดละเอียด 3,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1UZPen37uS2pJbb193pmfs1mOfZS__IcN/view?usp=drivesdk,2,3
3520SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 20,20,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/13s06XNQ0X9tF8c4hStcKT8ffHcM6RhBw/view?usp=drivesdk,2,3
3521SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 21,21,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1_CzuosZ5EKiS7h0IKYdmPnf4eToO81RV/view?usp=drivesdk,2,3
3522SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 22,22,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/10TbGfKe72MQnfYioqIQhLMyceZLnZurR/view?usp=drivesdk,2,3
3523SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 23,23,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1O0A--Ss-r6AgiFRVSl_9lwuQoCjV9Hfm/view?usp=drivesdk,2,3
3524SA,ขัดละเอียด,เครื่องขัดสปองค์,เครื่องขัดสปองค์ 24,24,35,SA,แผนกขัดละเอียด1,SPS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1_lXzl0aXJwk71eCMv5kZ8ueRnVXsTG5L/view?usp=drivesdk,2,3
3601SA,ขัดละเอียด,เครื่องขัดนอน,เครื่องขัดนอน,1,36,SA,แผนกขัดละเอียด2,HSN,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1KXJ-wNawI_xoOcg7zcs7jNBdG22DzJ6h/view?usp=drivesdk,3,3
3701SA,ขัดละเอียด,เครื่องขัดแปรง,เครื่องขัดแปรง,1,37,SA,แผนกขัดละเอียด 3,BSM,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1o_YFW3iF_j6vSt5Uv7ylHX-VK8rSOJos/view?usp=drivesdk,3,3
3801SA,ขัดละเอียด,เครื่องขัดไม้กลม,เครื่องขัดไม้กลม 1,1,38,SA,แผนกขัดละเอียด1,RWS,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1r993hpSDSjXb58btzLfqBpgJL2M-rJvQ/view?usp=drivesdk,3,3
3802SA,ขัดละเอียด,เครื่องขัดไม้กลม,เครื่องขัดไม้กลม 2,2,38,SA,แผนกขัดละเอียด1,RWS,เครื่องจักรผลิต,,3,https://drive.google.com/file/d/1wHIZixApW7VVFUsMXn7oXvFlqTaCngbL/view?usp=drivesdk,3,3
3901AS,ประกอบ,เครื่องบดเดือย,เครื่องบดเดือย 1,1,39,AS,แผนกย้อม,TGR,เครื่องจักรผลิต,,2,https://drive.google.com/file/d/1e6ifnKbvmhSVZtPgmsVsU0pISYIP-2hA/view?usp=drivesdk,1,3
3902AS,ประกอบ,เครื่องบดเดือย,เครื่องบดเดือย 2,2,39,AS,แผนกย้อม,TGR,เครื่องจักรผลิต,,2,https://drive.google.com/file/d/1W7QePCupVtwww7fU0Rz4wqG7lcQJNE3Y/view?usp=drivesdk,1,3
4101AS,ประกอบ,เครื่องอัดจั่วประกอบ,เครื่องอัดจั่วประกอบ,1,41,AS,,GAP,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1l_02Zr92wmWvOuB7DM8kON5IQrkNCKE3/view?usp=drivesdk,-,-
4201AS,ประกอบ,เครื่องอัดประกอบนอน,เครื่องอัดประกอบนอน 1,1,42,AS,แผนกประกอบ1,HAS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1EwLBMVv88IQWk5jOZORLRV9CKk4wDpan/view?usp=drivesdk,-,-
4202AS,ประกอบ,เครื่องอัดประกอบนอน,เครื่องอัดประกอบนอน 2,2,42,AS,แผนกประกอบ1,HAS,เครื่องจักรผลิต,,4,https://drive.google.com/file/d/1sMZ2mfekFA565NZl-Z6YGovZtAHpFB-o/view?usp=drivesdk,-,-
